time,min_power,max_power
20200129:2310,0,0
20200130:0010,0,0
20200130:0110,0,0
20200130:0210,0,0
20200130:0310,0,0
20200130:0410,0,0
20200130:0510,0,0
20200130:0610,0,41
20200130:0710,42,238
20200130:0810,94,466
20200130:0910,189,607
20200130:1010,195,656
20200130:1110,163,680
20200130:1210,171,586
20200130:1310,100,429
20200130:1410,20,191
20200130:1510,0,37
20200130:1610,0,0
20200130:1710,0,0
20200130:1810,0,0
20200130:1910,0,0
20200130:2010,0,0
20200130:2110,0,0
20200130:2210,0,0
20200130:2310,0,0
20200131:0010,0,0
20200131:0110,0,0
20200131:0210,0,0
20200131:0310,0,0
20200131:0410,0,0
20200131:0510,0,0
20200131:0610,0,61
20200131:0710,42,238
20200131:0810,94,466
20200131:0910,189,607
20200131:1010,192,656
20200131:1110,163,680
20200131:1210,171,586
20200131:1310,122,429
20200131:1410,20,191
20200131:1510,0,37
20200131:1610,0,0
20200131:1710,0,0
20200131:1810,0,0
20200131:1910,0,0
20200131:2010,0,0
20200131:2110,0,0
20200131:2210,0,0
20200131:2310,0,0
20200201:0010,0,0
20200201:0110,0,0
20200201:0210,0,0
20200201:0310,0,0
20200201:0410,0,0
20200201:0510,0,0
20200201:0610,0,63
20200201:0710,42,305
20200201:0810,94,541
20200201:0910,189,663
20200201:1010,192,799
20200201:1110,163,786
20200201:1210,171,701
20200201:1310,131,473
20200201:1410,20,276
20200201:1510,0,55
20200201:1610,0,0
20200201:1710,0,0
20200201:1810,0,0
20200201:1910,0,0
20200201:2010,0,0
20200201:2110,0,0
20200201:2210,0,0
20200201:2310,0,0
20200202:0010,0,0
20200202:0110,0,0
20200202:0210,0,0
20200202:0310,0,0
20200202:0410,0,0
20200202:0510,0,0
20200202:0610,0,63
20200202:0710,42,305
20200202:0810,94,564
20200202:0910,189,663
20200202:1010,192,815
20200202:1110,163,803
20200202:1210,171,701
20200202:1310,131,488
20200202:1410,20,276
20200202:1510,0,60
20200202:1610,0,0
20200202:1710,0,0
20200202:1810,0,0
20200202:1910,0,0
20200202:2010,0,0
20200202:2110,0,0
20200202:2210,0,0
20200202:2310,0,0
20200203:0010,0,0
20200203:0110,0,0
20200203:0210,0,0
20200203:0310,0,0
20200203:0410,0,0
20200203:0510,0,0
20200203:0610,0,63
20200203:0710,42,305
20200203:0810,94,564
20200203:0910,189,736
20200203:1010,192,826
20200203:1110,163,803
20200203:1210,171,701
20200203:1310,131,488
20200203:1410,20,276
20200203:1510,0,65
20200203:1610,0,0
20200203:1710,0,0
20200203:1810,0,0
20200203:1910,0,0
20200203:2010,0,0
20200203:2110,0,0
20200203:2210,0,0
20200203:2310,0,0
20200204:0010,0,0
20200204:0110,0,0
20200204:0210,0,0
20200204:0310,0,0
20200204:0410,0,0
20200204:0510,0,0
20200204:0610,0,63
20200204:0710,42,305
20200204:0810,94,564
20200204:0910,189,736
20200204:1010,192,826
20200204:1110,163,803
20200204:1210,171,701
20200204:1310,131,488
20200204:1410,20,276
20200204:1510,0,65
20200204:1610,0,0
20200204:1710,0,0
20200204:1810,0,0
20200204:1910,0,0
20200204:2010,0,0
20200204:2110,0,0
20200204:2210,0,0
20200204:2310,0,0
20200205:0010,0,0
20200205:0110,0,0
20200205:0210,0,0
20200205:0310,0,0
20200205:0410,0,0
20200205:0510,0,0
20200205:0610,0,63
20200205:0710,42,305
20200205:0810,94,564
20200205:0910,189,736
20200205:1010,192,826
20200205:1110,163,834
20200205:1210,171,701
20200205:1310,131,488
20200205:1410,20,276
20200205:1510,0,65
20200205:1610,0,0
20200205:1710,0,0
20200205:1810,0,0
20200205:1910,0,0
20200205:2010,0,0
20200205:2110,0,0
20200205:2210,0,0
20200205:2310,0,0
20200206:0010,0,0
20200206:0110,0,0
20200206:0210,0,0
20200206:0310,0,0
20200206:0410,0,0
20200206:0510,0,0
20200206:0610,0,63
20200206:0710,42,305
20200206:0810,94,564
20200206:0910,189,753
20200206:1010,192,844
20200206:1110,163,834
20200206:1210,171,701
20200206:1310,131,488
20200206:1410,20,276
20200206:1510,0,65
20200206:1610,0,0
20200206:1710,0,0
20200206:1810,0,0
20200206:1910,0,0
20200206:2010,0,0
20200206:2110,0,0
20200206:2210,0,0
20200206:2310,0,0
20200207:0010,0,0
20200207:0110,0,0
20200207:0210,0,0
20200207:0310,0,0
20200207:0410,0,0
20200207:0510,0,0
20200207:0610,0,63
20200207:0710,42,305
20200207:0810,94,564
20200207:0910,189,753
20200207:1010,192,844
20200207:1110,188,834
20200207:1210,171,701
20200207:1310,131,488
20200207:1410,48,276
20200207:1510,0,74
20200207:1610,0,0
20200207:1710,0,0
20200207:1810,0,0
20200207:1910,0,0
20200207:2010,0,0
20200207:2110,0,0
20200207:2210,0,0
20200207:2310,0,0
20200208:0010,0,0
20200208:0110,0,0
20200208:0210,0,0
20200208:0310,0,0
20200208:0410,0,0
20200208:0510,0,0
20200208:0610,0,88
20200208:0710,42,305
20200208:0810,94,617
20200208:0910,189,753
20200208:1010,180,844
20200208:1110,188,834
20200208:1210,120,701
20200208:1310,131,488
20200208:1410,48,276
20200208:1510,0,74
20200208:1610,0,0
20200208:1710,0,0
20200208:1810,0,0
20200208:1910,0,0
20200208:2010,0,0
20200208:2110,0,0
20200208:2210,0,0
20200208:2310,0,0
20200209:0010,0,0
20200209:0110,0,0
20200209:0210,0,0
20200209:0310,0,0
20200209:0410,0,0
20200209:0510,0,0
20200209:0610,0,88
20200209:0710,42,322
20200209:0810,94,617
20200209:0910,189,789
20200209:1010,180,893
20200209:1110,188,857
20200209:1210,120,701
20200209:1310,131,488
20200209:1410,70,276
20200209:1510,0,74
20200209:1610,0,0
20200209:1710,0,0
20200209:1810,0,0
20200209:1910,0,0
20200209:2010,0,0
20200209:2110,0,0
20200209:2210,0,0
20200209:2310,0,0
20200210:0010,0,0
20200210:0110,0,0
20200210:0210,0,0
20200210:0310,0,0
20200210:0410,0,0
20200210:0510,0,0
20200210:0610,0,88
20200210:0710,42,322
20200210:0810,94,617
20200210:0910,189,791
20200210:1010,180,893
20200210:1110,188,857
20200210:1210,120,702
20200210:1310,131,488
20200210:1410,70,276
20200210:1510,0,74
20200210:1610,0,0
20200210:1710,0,0
20200210:1810,0,0
20200210:1910,0,0
20200210:2010,0,0
20200210:2110,0,0
20200210:2210,0,0
20200210:2310,0,0
20200211:0010,0,0
20200211:0110,0,0
20200211:0210,0,0
20200211:0310,0,0
20200211:0410,0,0
20200211:0510,0,0
20200211:0610,0,88
20200211:0710,42,322
20200211:0810,94,617
20200211:0910,189,792
20200211:1010,180,893
20200211:1110,188,857
20200211:1210,120,712
20200211:1310,131,488
20200211:1410,70,276
20200211:1510,0,74
20200211:1610,0,0
20200211:1710,0,0
20200211:1810,0,0
20200211:1910,0,0
20200211:2010,0,0
20200211:2110,0,0
20200211:2210,0,0
20200211:2310,0,0
20200212:0010,0,0
20200212:0110,0,0
20200212:0210,0,0
20200212:0310,0,0
20200212:0410,0,0
20200212:0510,0,0
20200212:0610,0,106
20200212:0710,42,373
20200212:0810,94,655
20200212:0910,189,844
20200212:1010,180,893
20200212:1110,188,857
20200212:1210,120,712
20200212:1310,131,488
20200212:1410,70,276
20200212:1510,1,74
20200212:1610,0,0
20200212:1710,0,0
20200212:1810,0,0
20200212:1910,0,0
20200212:2010,0,0
20200212:2110,0,0
20200212:2210,0,0
20200212:2310,0,0
20200213:0010,0,0
20200213:0110,0,0
20200213:0210,0,0
20200213:0310,0,0
20200213:0410,0,0
20200213:0510,0,0
20200213:0610,0,106
